,date,p_comp
0,10,-0.802
1,10,-0.802
2,10,0.8442
3,10,0.4019
4,10,-0.4019
5,10,0.7845
6,10,0.0
7,10,0.658
8,10,0.7906
9,10,-0.91
10,10,0.4215
11,10,0.4588
12,10,-0.6478
13,10,0.4939
14,10,0.923
15,10,0.7463
16,10,0.0
17,10,-0.7351
18,10,0.0
19,10,0.4215
20,10,0.8478
21,10,-0.5423
22,10,-0.3164
23,10,0.4404
24,10,-0.4019
25,10,0.8074
26,10,-0.875
27,10,0.7003
28,10,0.5255
29,10,0.3612
30,10,0.9067
31,10,-0.3612
32,10,0.25
33,10,0.0
34,10,-0.0258
35,10,-0.1779
36,10,-0.9673
37,10,0.7906
38,10,0.8979
39,10,-0.6124
40,10,0.3818
41,10,0.805
42,10,0.0
43,10,0.4767
44,10,0.8074
45,10,0.8481
46,10,0.6124
47,10,-0.6908
48,10,-0.7783
49,10,0.5994
50,10,-0.4898
51,10,-0.3182
52,10,0.4215
53,10,0.3987
54,10,0.0516
55,10,0.6124
56,10,0.7901
57,10,0.296
58,10,-0.4019
59,10,0.5719
60,10,0.3818
61,10,0.1779
62,10,0.3182
63,10,0.9714
64,10,0.6808
65,10,0.0
66,10,0.224
67,10,-0.8748
68,10,0.4939
69,10,0.0
70,10,0.5574
71,10,0.4939
72,10,0.4019
73,10,-0.1926
74,10,-0.5423
75,10,-0.4404
76,10,0.9747
77,10,0.8655
78,10,-0.4374
79,10,-0.6249
80,10,-0.5346
81,10,0.1027
82,10,0.3182
83,10,0.7684
84,10,0.8192
85,10,0.5562
86,10,0.9885
87,10,-0.8268
88,10,0.0
89,10,0.6597
90,10,-0.1531
91,10,0.7717
92,10,0.25
93,10,-0.8225
94,10,0.7624
95,10,0.1531
96,10,-0.3612
97,10,0.8977
98,10,0.1027
99,10,-0.3182
100,10,0.7955
101,10,0.6908
102,10,0.4588
103,10,0.9441
104,10,0.908
105,10,0.0
106,10,0.8126
107,10,0.9183
108,10,0.128
109,10,0.128
110,10,0.3182
111,10,0.7351
112,10,0.0018
113,10,-0.0258
114,10,-0.4939
115,10,-0.2263
116,10,0.6124
117,10,0.6124
118,10,-0.4215
119,10,-0.3182
120,10,0.9638
121,10,-0.5106
122,10,-0.4215
123,10,-0.7759
124,10,-0.7783
125,10,-0.875
126,10,0.8625
127,10,0.0
128,10,-0.3182
129,10,0.6705
130,10,-0.0688
131,10,0.7901
132,10,0.2023
133,10,0.4019
134,10,0.0
135,10,-0.8271
136,10,-0.8176
137,10,0.6908
138,10,-0.128
139,10,-0.4404
140,10,-0.1779
141,10,0.9118
142,10,0.5994
143,10,0.0
144,10,-0.8074
145,10,0.9371
146,10,0.0
147,10,0.9726
148,10,0.0
149,10,0.0
150,10,-0.5994
151,10,-0.0516
152,10,0.4019
153,10,-0.4981
154,10,0.8583
155,10,0.2023
156,10,0.7964
157,10,0.7263
158,10,0.6943
159,10,0.6523
160,10,0.2023
161,10,0.3612
162,10,-0.2942
163,10,0.6705
164,10,0.836
165,10,-0.5719
166,10,0.128
167,10,0.5859
168,10,0.4215
169,10,-0.8658
170,10,0.296
171,10,0.2023
172,10,0.6808
173,10,0.3314
174,10,0.5106
175,10,0.5673
176,10,0.8313
177,10,0.6486
178,10,0.4019
179,10,0.4215
180,10,-0.7906
181,10,0.7506
182,10,0.9209
183,10,-0.7096
184,10,0.836
185,10,0.0
186,10,-0.836
187,10,0.2235
188,10,0.4019
189,10,0.4767
190,10,0.6588
191,10,0.3612
192,10,0.8622
193,10,0.3612
194,10,0.128
195,10,0.9153
196,10,-0.6808
197,10,0.6369
198,10,0.2023
199,10,0.6249
200,10,-0.7688
201,10,-0.7693
202,10,0.0
203,10,0.4767
204,10,0.128
205,10,0.7717
206,10,0.0
207,10,-0.2054
208,10,0.34
209,10,0.2263
210,10,0.5574
211,10,-0.2263
212,10,0.0
213,10,0.8718
214,10,0.9565
215,10,0.2617
216,10,0.8217
217,10,0.5106
218,10,0.1027
219,10,0.7351
220,10,0.3182
221,10,0.3818
222,10,0.296
223,10,-0.1531
224,10,0.0
225,10,-0.7579
226,10,0.0
227,10,0.5106
228,10,0.8074
229,10,0.8225
230,10,-0.7783
231,10,0.93
232,10,0.9246
233,10,0.6124
234,10,0.6696
235,10,0.0
236,10,-0.5106
237,10,0.1027
238,10,0.5106
239,10,-0.7845
240,10,0.6249
241,10,-0.1779
242,10,-0.8555
243,10,0.5423
244,10,-0.7351
245,10,-0.3818
246,10,-0.3818
247,10,0.4019
248,10,0.0
249,10,0.4767
250,10,-0.4648
251,10,0.5994
252,10,-0.886
253,10,-0.6249
254,10,0.8999
255,10,-0.9186
256,10,-0.3612
257,10,0.5719
258,10,0.0
259,10,0.5859
260,10,0.296
261,10,0.0
262,10,0.7184
263,10,-0.5994
264,10,0.6908
265,10,-0.6012
266,10,0.0
267,10,-0.7717
268,10,-0.1812
269,10,-0.1027
270,10,0.8928
271,10,-0.1027
272,10,0.0
273,10,0.9617
274,10,-0.5994
275,10,0.6369
276,10,-0.4939
277,10,0.4374
278,10,0.4902
279,10,0.0
280,10,0.9082
281,10,-0.4215
282,10,0.6705
283,10,0.2732
284,10,-0.7096
285,9,0.7269
286,9,0.4404
287,9,0.879
288,9,0.2675
289,9,-0.8658
290,9,-0.4215
291,9,-0.3182
292,9,0.872
293,9,-0.3182
294,9,-0.7579
295,9,-0.4939
296,9,0.5719
297,9,0.0516
298,9,0.0
299,9,-0.3182
300,9,0.5994
301,9,0.4019
302,9,-0.5859
303,9,0.0
304,9,-0.3597
305,9,-0.3182
306,9,-0.7469
307,9,0.7574
308,9,0.4767
309,9,0.7579
310,9,-0.7906
311,9,0.0258
312,9,-0.4019
313,9,0.9442
314,9,0.0
315,9,0.8658
316,9,-0.6597
317,9,0.6113
318,9,0.34
319,9,0.7964
320,9,-0.3612
321,9,0.4019
322,9,0.9594
323,9,0.9257
324,9,0.3182
325,9,0.1027
326,9,0.4767
327,9,0.4019
328,9,0.843
329,9,0.0
330,9,-0.9552
331,9,0.7351
332,9,0.6808
333,9,-0.765
334,9,0.296
335,9,0.0
336,9,-0.7269
337,9,-0.9524
338,9,0.6908
339,9,0.6239
340,9,0.8947
341,9,-0.0258
342,9,-0.3612
343,9,0.8481
344,9,0.6605
345,9,0.0
346,9,0.5514
347,9,0.5255
348,9,-0.6486
349,9,-0.4019
350,9,0.5574
351,9,0.0
352,9,-0.4939
353,9,-0.0258
354,9,0.7845
355,9,0.296
356,9,0.2263
357,9,-0.4215
358,9,0.7425
359,9,0.7177
360,9,0.8481
361,9,0.872
362,9,0.6179
363,9,0.4019
364,9,0.5574
365,9,0.0
366,9,0.6249
367,9,0.25
368,9,-0.4939
369,9,-0.886
370,9,0.9415
371,9,0.5106
372,9,0.7351
373,9,0.4215
374,9,0.0
375,9,0.0
376,9,0.926
377,9,-0.5719
378,9,-0.5242
379,9,0.7096
380,9,0.6908
381,9,-0.7061
382,9,0.9477
383,9,0.9477
384,9,0.7081
385,9,0.296
386,9,0.8176
387,9,-0.8689
388,9,-0.0772
389,9,0.765
390,9,-0.2708
391,9,-0.836
392,9,0.7964
393,9,0.0
394,9,-0.6124
395,9,0.8268
396,9,0.853
397,9,0.25
398,9,0.5719
399,9,-0.3802
400,9,-0.4648
401,9,-0.7177
402,9,0.7275
403,9,0.8455
404,9,-0.4621
405,9,0.0
406,9,0.7269
407,9,0.2732
408,9,0.5106
409,9,0.2263
410,9,0.6705
411,9,0.0
412,9,-0.6249
413,9,0.9139
414,9,0.0
415,9,0.4926
416,9,0.7351
417,9,0.875
418,9,-0.8402
419,9,0.4033
420,9,-0.1027
421,9,0.4574
422,9,0.1027
423,9,0.9509
424,9,-0.7003
425,9,0.4404
426,9,0.1027
427,9,0.296
428,9,0.361
429,9,0.6908
430,9,0.7706
